Subject,Condition,cType,gType,pType,trialsequence,stimulusNo,word1,word2,word3,word4,word5,word6,wl1,wl2,wl3,wl4,wl5,wl6,probeAns,probeACC,probeRT
3,2,0,2,0,70,50,1317.885316,567.311634,567.235576,583.933089,467.134599,567.33977,4,3,4,4,3,4,j,1,1735.244904
2,4,0,3,0,105,12,316.976021,233.593889,250.316135,366.942722,283.726001,350.239954,4,4,3,3,3,4,j,1,1018.689243
3,2,2,3,7,88,57,900.999699,650.580298,650.659138,500.462841,500.509527,600.549906,3,3,2,4,3,4,f,1,1385.876834
2,4,1,2,5,128,16,217.037362,183.569989,216.819391,233.481038,233.264304,234.049,4,3,3,3,3,2,f,1,802.823669
2,4,2,2,1,168,17,216.889265,200.216796,200.185878,183.519593,200.145685,333.718982,3,4,3,5,2,3,j,1,1052.150741
3,2,1,0,4,121,77,583.841881,500.669681,400.107409,467.245594,450.453473,517.247542,4,2,2,3,4,3,f,1,1702.900469
3,2,3,0,2,173,93,583.853321,684.287284,700.483308,450.428429,517.185706,466.7237,3,3,4,3,4,4,j,1,1235.670952
2,1,2,0,1,80,26,300.306334,267.075174,200.067154,216.871024,266.936353,600.599374,3,2,3,4,3,4,j,1,1469.309362
3,2,2,2,1,137,103,467.086367,433.864173,417.00496,667.332226,683.943786,483.920227,3,3,4,4,3,2,j,1,952.006478
2,1,0,2,3,83,29,249.952541,233.856381,200.154342,333.65962,283.537402,317.072175,4,3,3,4,3,3,f,1,1519.255967
3,2,0,1,3,43,104,684.121873,667.224013,917.616516,684.062202,800.679822,934.342163,4,3,2,4,3,3,f,1,1202.273145
2,4,3,2,2,41,39,266.943773,200.126516,300.366933,700.630478,367.132249,433.360211,3,3,3,2,3,4,j,1,1586.064877
2,4,1,1,0,66,43,317.089799,333.693011,433.631052,317.022398,366.999611,367.031766,4,3,3,3,3,3,j,1,985.394082
2,4,3,2,8,91,44,216.890502,233.462178,216.942444,333.61819,283.503701,300.414547,3,3,4,3,3,3,f,1,1018.696044
3,2,1,3,5,5,112,684.081062,717.337265,717.359526,684.115071,700.603888,1184.530299,4,3,2,3,3,3,f,1,1319.170881
3,2,2,2,6,47,121,767.405068,567.259692,750.738783,584.055833,533.744088,484.007106,3,5,4,4,3,3,f,1,968.821787
3,2,0,0,0,147,138,736.75215,533.768513,450.564777,483.90786,483.666391,400.474713,4,2,2,4,2,3,j,1,1452.814362
2,1,2,2,1,120,52,267.228218,233.442082,267.077339,216.721072,217.153613,334.383717,3,3,3,4,3,3,j,1,835.331968
3,2,0,3,4,102,141,633.968737,467.08142,433.888907,617.130857,483.889618,417.03124,4,4,2,4,3,4,f,1,1152.243062
2,4,2,0,6,5,66,383.734534,433.663825,650.720665,567.170649,517.245996,467.050811,3,4,2,3,3,2,f,1,1569.296253
2,1,3,0,2,15,67,350.349094,383.757104,433.700926,316.980349,584.012239,633.885568,3,2,3,3,3,4,j,1,1068.83434
2,1,1,1,5,117,72,266.904817,200.243695,183.452192,233.728381,216.829594,283.635721,4,3,3,3,3,4,f,1,1286.563644
2,4,2,1,6,77,75,350.823374,266.931406,450.454709,433.769873,383.917877,433.574472,3,4,3,2,2,2,f,1,1251.525025
2,1,2,1,1,141,76,250.248425,200.306149,183.410453,200.205975,216.905033,266.910382,3,3,2,4,3,4,j,1,1152.244607
3,2,2,3,2,9,157,967.620319,567.2532,917.575395,850.171316,584.656258,583.84621,3,3,4,4,3,4,j,1,1068.871751
2,1,3,3,2,39,81,266.821648,283.636339,350.348785,367.038568,567.224446,517.152005,3,3,3,3,3,2,j,1,768.532953
2,1,3,3,8,21,90,383.723404,450.458729,717.480106,316.878629,433.728134,483.970314,3,3,3,3,3,5,f,1,1636.176892
2,4,1,3,5,147,92,200.209376,183.72767,200.013666,216.856492,417.083182,250.250589,4,3,3,3,3,4,f,1,868.710607
3,2,1,0,0,49,159,750.722087,750.850706,500.410899,633.416853,484.37843,433.738337,4,3,2,3,2,2,j,1,1018.92731
2,1,0,3,0,154,99,216.758483,183.413545,166.840631,216.197632,200.983251,283.514832,4,3,3,4,3,3,j,1,785.219335
3,2,3,3,8,77,162,750.842976,549.780267,534.543933,433.801719,450.425337,450.475115,3,3,2,3,3,2,f,1,1101.356553
3,2,0,2,3,306,181,550.527861,433.762144,400.383815,617.31451,583.910828,450.520255,4,3,4,4,3,2,f,1,1052.187533
2,4,1,3,1,74,109,250.235131,433.680211,267.024469,233.559261,317.013741,333.550171,4,3,3,2,3,4,j,1,1335.697418
3,2,2,3,7,327,186,633.546708,366.744538,334.257263,1001.25774,500.430686,450.385453,3,3,4,4,3,4,f,1,1368.128114
3,2,1,1,0,257,242,1017.769126,533.769131,483.846333,667.497946,400.443177,333.436393,4,4,2,3,3,4,j,1,1135.582032
3,2,3,0,7,193,244,784.135972,517.073165,467.293207,566.97834,433.954453,417.118738,3,3,2,3,2,3,f,1,818.281065
2,4,1,3,1,19,127,350.431645,316.3286,567.803538,466.268898,534.683373,734.032304,4,3,2,2,2,3,j,1,2269.101532
2,1,2,2,1,145,133,216.788164,200.358709,216.930077,200.094052,183.564733,417.035569,3,2,3,4,3,2,j,1,968.683894
3,2,3,1,2,326,245,650.01079,433.949197,416.820689,466.975681,466.792338,467.511488,3,4,3,3,2,3,j,1,1668.224516
3,2,1,2,1,199,246,867.441118,450.514999,500.509218,567.24176,417.097404,367.063302,4,3,4,3,3,2,j,1,2019.909571
3,2,2,1,6,244,247,584.565669,617.368925,416.909733,483.369889,417.619607,633.534341,3,2,3,4,3,3,f,1,1719.582213
2,1,3,0,7,96,143,267.135464,266.667058,233.688497,166.773539,266.921513,350.35435,3,3,2,3,3,4,f,1,901.9631
3,2,1,3,1,280,248,600.680379,467.061323,333.726094,450.378033,433.762762,367.091437,4,3,3,3,4,3,j,1,1586.157321
3,2,0,0,3,252,252,500.512,467.139236,400.475332,583.824876,467.204164,417.030313,4,3,3,4,3,3,f,1,1385.83324
3,2,2,0,1,241,253,583.83848,467.128106,350.383413,533.21972,534.484571,367.088345,3,3,2,4,2,3,j,1,1018.891755
3,2,3,1,8,210,279,550.289484,550.619687,467.149439,950.840874,467.256415,400.412568,3,3,4,3,3,3,f,1,1052.181968
3,2,1,3,1,330,296,483.898894,383.7738,383.527384,483.996594,467.087913,400.434211,4,2,4,3,2,2,j,1,1234.73785
2,1,1,3,1,87,176,233.613367,316.951596,233.549985,483.905386,250.143614,300.322412,4,2,3,3,4,2,j,1,1269.100914
2,1,3,2,2,193,177,400.234481,283.773924,233.549676,233.541019,250.292947,417.032477,3,3,2,3,3,3,j,1,751.926339
3,2,2,0,6,293,297,617.261331,467.124705,400.448433,467.188705,350.330543,450.391018,3,3,2,4,3,4,f,1,868.648462
3,2,3,3,2,202,309,717.389826,467.086057,450.437705,400.456472,417.102351,367.020944,3,3,2,3,3,4,j,1,1068.911326
2,4,0,2,0,273,183,450.535714,216.77827,200.139811,233.617077,433.803265,350.352186,4,4,3,3,3,3,j,1,1402.571873
